California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
Jamestown Elementary School District,"9,046","8,723","5,999",948,186,54,2,11,20,6,0,2,13,9,5,0,3,1,"1,527",323,,9500618690
Jamul-Dulzura Union Elementary School District,"8,716","8,363","7,346",144,59,127,14,9,47,28,5,7,17,12,1,5,2,4,675,353,,9500618730
Janesville Union Elementary School District,"3,565","3,459","3,289",17,71,19,1,2,5,4,2,1,4,9,1,1,0,7,54,106,,9500618780
Jefferson Elementary School District (San Benito County),189,186,171,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13,3,,9500618810
Jefferson Elementary School District (San Joaquin County),"14,519","13,357","8,027","1,117",105,"2,683",779,273,"1,046",54,69,194,268,96,12,18,24,42,"1,329","1,162",,9500618840
Jefferson Elementary School District (San Mateo County),"86,757","82,394","22,134","3,015",386,"45,671",500,"12,144","27,535",507,530,783,"3,672",575,57,31,330,157,"10,613","4,363",,9500618870
Jefferson Union High School District,"142,700","134,574","52,980","4,626",675,"61,181",944,"17,452","35,044",989,871,"1,222","4,659","1,172",105,65,598,404,"13,940","8,126",,9600618930
John Swett Unified School District,"13,888","12,880","6,875","1,971",92,"2,697",478,245,"1,481",54,32,60,347,95,23,6,23,43,"1,150","1,008",,9700618990
Johnstonville Elementary School District,"1,215","1,175","1,092",7,16,13,1,5,4,1,0,1,1,0,0,0,0,0,47,40,,9500619050
Julian Union Elementary School District,"4,039","3,948","3,361",50,297,30,1,3,12,7,0,3,4,3,3,0,0,0,207,91,,9500619140
Julian Union High School District,"4,488","4,386","3,769",52,304,37,1,6,12,10,0,4,4,3,3,0,0,0,221,102,,9600619110
Junction City Elementary School District,750,716,668,1,30,2,0,1,0,1,0,0,0,0,0,0,0,0,15,34,,9500619170
Junction Elementary School District (Shasta County),"3,694","3,586","3,416",12,68,18,0,1,9,3,3,0,2,3,1,2,0,0,69,108,,9500619200
Junction Elementary School District (Siskiyou County),151,141,84,1,53,2,0,0,0,2,0,0,0,0,0,0,0,0,1,10,,9500619230
Jurupa Unified School District,"96,472","92,128","51,651","3,831","1,019","2,473",304,243,908,124,214,253,427,293,49,38,88,118,"32,861","4,344",,9700619260
Kashia Elementary School District,78,75,2,0,72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,9500632340
Kelseyville Unified School District,"12,364","11,917","9,914",112,221,116,17,14,44,16,8,4,13,20,9,3,3,5,"1,534",447,,9700619320
Kentfield Elementary School District,"11,396","10,966","9,983",133,19,543,75,202,61,81,46,25,53,14,4,2,0,8,274,430,,9500619380
Kenwood Elementary School District,"4,177","4,123","3,925",15,19,75,6,15,16,18,6,0,14,11,1,1,2,7,78,54,,9500619410
Keppel Union Elementary School District,"20,900","19,987","12,984","1,410",274,284,14,18,88,19,107,3,35,54,30,5,12,7,"4,981",913,,9500619440
Kerman Unified School District,"19,798","18,871","10,337",100,390,"1,243","1,083",40,36,19,6,4,55,15,8,0,0,7,"6,786",927,,9700619490
Kern Union High School District,"596,351","568,790","352,529","34,427","9,637","24,273","7,908","2,064","8,083",776,"1,478","1,248","2,716",707,214,160,130,203,"147,217","27,561",,9600619540
Kernville Union Elementary School District,"11,432","10,899","10,282",28,255,62,7,12,22,12,3,4,2,14,9,3,1,1,258,533,,9500619590
Keyes Union Elementary School District,"5,831","5,612","3,331",63,67,213,117,6,16,1,1,10,62,27,6,9,1,11,"1,911",219,,9500619620
King City Joint Union High School District,"36,916","35,317","17,160",459,"1,336",502,64,29,308,21,43,10,27,30,7,3,1,19,"15,830","1,599",,9600619650
King City Union Elementary School District,"15,903","15,173","8,104",185,379,236,40,11,149,6,24,1,5,8,1,0,1,6,"6,261",730,,9500619680
Kings Canyon Joint Unified School District,"45,982","44,169","27,208",347,686,"1,250",49,124,453,454,23,21,126,17,2,3,6,6,"14,661","1,813",,9700619700
Kings River Union Elementary School District,"3,224","3,099","1,788",13,62,36,1,2,2,18,1,2,10,0,0,0,0,0,"1,200",125,,9500619740
Kings River-Hardwick Union Elementary School District,"2,661","2,562","1,985",37,25,63,3,9,23,14,5,0,9,2,2,0,0,0,450,99,,9500619770
Kingsburg Joint Union Elementary School District,"14,651","14,085","10,881",85,179,501,217,84,28,135,3,4,30,22,2,13,1,6,"2,417",566,,9500619800
Kingsburg Joint Union High School District,"17,503","16,845","12,704",94,221,558,219,86,32,168,4,6,43,24,2,13,1,8,"3,244",658,,9600619830
Kirkwood Elementary School District,297,283,240,2,26,1,0,0,1,0,0,0,0,0,0,0,0,0,14,14,,9500619860
Kit Carson Union Elementary School District,"2,435","2,322","1,756",39,28,21,6,0,7,5,0,0,3,3,0,0,0,3,475,113,,9500619890
Klamath River Union Elementary School District,484,461,419,6,25,3,2,0,0,0,1,0,0,1,0,0,0,1,7,23,,9500619920
Klamath-Trinity Joint Unified School District,"6,326","5,922","2,591",11,"3,222",27,7,1,8,3,2,0,6,12,12,0,0,0,59,404,,9700619950
Kneeland Elementary School District,332,322,298,2,8,7,0,2,1,2,0,0,2,0,0,0,0,0,7,10,,9500619980
Knights Ferry Elementary School District,608,588,541,0,6,12,0,1,0,3,0,2,6,0,0,0,0,0,29,20,,9500620010
Knightsen Elementary School District,"2,470","2,320","1,865",67,17,78,9,13,34,4,8,2,8,5,4,0,0,1,288,150,,9500620040
Konocti Unified School District,"22,639","21,342","17,636",756,557,235,26,45,85,24,7,10,38,40,25,4,5,6,"2,118","1,297",,9700620070
La Cañada Unified School District,"17,691","17,085","12,110",102,22,"4,636",269,"1,006",164,313,"2,614",41,229,5,1,2,0,2,210,606,,9700620130
La Grange Elementary School District,200,197,155,4,0,19,19,0,0,0,0,0,0,0,0,0,0,0,19,3,,9500620160
La Habra City Elementary School District,"49,429","47,394","28,609",810,401,"4,591",337,738,886,280,"1,785",179,386,72,30,14,20,8,"12,911","2,035",,9500620190
La Honda-Pescadero Unified School District,"3,464","3,306","2,681",34,10,65,3,28,4,16,4,6,4,15,4,0,1,10,501,158,,9700620220
La Mesa-Spring Valley School District,"130,979","122,847","84,090","12,069",966,"8,082",288,773,"4,467",603,295,822,834,"1,042",121,498,311,112,"16,598","8,132",,9500620250
Lafayette Elementary School District,"26,645","25,530","22,589",197,71,"2,384",251,"1,087",256,269,287,49,185,35,8,6,2,19,254,"1,115",,9500620310
Laguna Beach Unified School District,"28,924","28,092","25,968",240,75,"1,339",148,375,203,199,154,157,103,20,9,4,2,5,450,832,,9700620370
Laguna Joint Elementary School District,348,338,297,1,1,5,1,1,1,2,0,0,0,1,0,0,0,1,33,10,,9500620430
Laguna Salada Union Elementary School District,"36,664","34,047","23,865",926,203,"7,070",208,"1,802","3,859",303,183,173,542,313,33,26,106,148,"1,670","2,617",,9500620460
Lagunita Elementary School District,290,279,218,3,4,9,0,0,2,0,1,4,2,0,0,0,0,0,45,11,,9500620490
Lagunitas Elementary School District,"3,652","3,500","3,345",32,17,41,3,8,4,14,5,2,5,5,2,0,0,3,60,152,,9500620520
Lake Elementary School District,419,414,345,0,3,15,5,0,0,0,0,0,10,0,0,0,0,0,51,5,,9500620610
Lake Elsinore Unified School District,"117,442","110,948","78,513","4,826","1,134","5,241",249,452,"2,343",253,419,705,820,346,80,77,109,80,"20,888","6,494",,9700600027
Lake Tahoe Unified School District,"29,839","28,819","23,530",236,273,"1,343",98,149,873,100,52,18,53,53,30,10,5,8,"3,384","1,020",,9700620640
Lakeport Unified School District,"10,733","10,288","8,622",117,570,163,24,33,61,5,3,16,21,12,3,1,2,6,804,445,,9700620670
Lakeside Joint Elementary School District,"2,632","2,538","2,392",9,7,97,19,22,6,21,6,19,4,3,0,3,0,0,30,94,,9500620700
Lakeside Union Elementary School District (Kern County),"8,833","8,256","4,998",562,130,860,336,76,256,12,49,40,91,14,5,0,7,2,"1,692",577,,9500620730
Lakeside Union Elementary School District (Kings County),"2,591","2,485","1,159",256,86,63,0,0,9,2,0,1,51,8,0,8,0,0,913,106,,9500620760
Lakeside Union Elementary School District (San Diego County),"40,774","38,851","33,982",595,"1,002",675,21,68,355,41,30,64,96,129,33,44,32,20,"2,468","1,923",,9500620790
Lammersville Elementary School District,"11,012","10,267","4,539",953,61,"3,898",976,408,"1,820",31,101,203,359,76,25,10,14,27,740,745,,9500620820
Lamont Elementary School District,"16,226","15,573","7,449",160,251,98,32,5,52,2,2,0,5,10,2,1,0,7,"7,605",653,,9500620850
Lancaster Elementary School District,"112,669","106,476","56,162","23,864","1,175","4,741",429,383,"2,415",229,320,394,571,244,70,78,53,43,"20,290","6,193",,9500620880
Larkspur Elementary School District,"13,693","13,127","11,858",129,32,709,103,242,73,125,82,22,62,35,5,5,0,25,364,566,,9500620910
Las Lomitas Elementary School District,"11,354","10,878","9,125",64,12,"1,482",249,585,97,228,177,38,108,23,4,0,1,18,172,476,,9500622380
Las Virgenes Unified School District,"63,947","61,684","54,503",954,146,"4,773","1,011","1,321",584,441,869,188,359,54,22,6,9,17,"1,254","2,263",,9700621000
Lassen Union High School District,"28,166","27,254","20,396","2,288",930,276,30,39,108,17,10,27,45,133,13,2,7,111,"3,231",912,,9600621060
Lassen View Union Elementary School District,"2,823","2,701","2,445",20,65,16,1,0,10,5,0,0,0,3,0,0,0,3,152,122,,9500621090
Laton Joint Unified School District,"3,727","3,585","2,338",7,37,48,26,0,8,5,2,0,7,0,0,0,0,0,"1,155",142,,9700621150
Latrobe Elementary School District,"2,651","2,563","2,456",11,13,65,13,6,15,11,12,3,5,5,4,0,0,1,13,88,,9500621180
Lawndale Elementary School District,"48,139","45,525","20,853","5,558",377,"5,349",263,421,"1,348",313,237,"2,180",587,534,39,27,193,275,"12,854","2,614",,9500621210
Laytonville Unified School District,"2,925","2,780","2,315",26,307,23,0,0,14,6,0,0,3,1,0,0,0,1,108,145,,9700642580
Le Grand Union Elementary School District,"2,257","2,186","1,335",24,43,24,1,1,1,8,0,0,13,1,0,1,0,0,759,71,,9500621240
Le Grand Union High School District,"8,218","8,021","3,907",50,70,96,16,6,3,16,0,0,55,2,1,1,0,0,"3,896",197,,9600621270
Leggett Valley Unified School District,588,543,506,1,9,8,1,1,4,2,0,0,0,1,0,0,0,1,18,45,,9700609665
Lemon Grove Elementary School District,"34,544","32,010","17,211","5,471",319,"2,511",60,210,997,175,25,668,376,361,36,174,121,30,"6,137","2,534",,9500621330
Lemoore Union Elementary School District,"26,395","24,655","15,200","1,588",366,"2,045",79,74,"1,660",70,34,21,107,110,26,40,23,21,"5,346","1,740",,9500621360
Lemoore Union High School District,"38,777","36,099","22,735","2,467","1,020","2,678",103,100,"2,082",116,64,40,173,166,35,70,26,35,"7,033","2,678",,9600621400
Lennox Elementary School District,"29,130","27,901","11,018","1,266",272,305,63,11,132,6,4,13,76,248,11,0,17,220,"14,792","1,229",,9500621420
Lewiston Elementary School District,"1,685","1,631","1,494",33,44,9,0,2,5,0,1,0,1,8,5,2,0,1,43,54,,9500621480
Liberty Elementary School District (Sonoma County),"1,900","1,851","1,728",3,12,27,3,10,3,7,1,1,2,1,0,1,0,0,80,49,,9500621540
Liberty Elementary School District (Tulare County),"2,004","1,927","1,514",25,46,25,9,0,9,1,0,0,6,3,0,0,0,3,314,77,,9500621570
Liberty Union High School District,"105,275","98,231","72,373","6,531",783,"7,147",726,838,"3,934",248,230,408,763,405,107,89,63,146,"10,992","7,044",,9600621600
Lincoln Elementary School District,114,113,100,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,11,1,,9500621660
Lincoln Unified School District,"43,390","40,237","24,887","4,047",412,"6,377",488,"1,177","2,045",444,232,532,"1,459",215,24,18,57,116,"4,299","3,153",,9700621690
Linden Unified School District,"11,568","11,067","8,255",97,129,366,42,10,122,78,2,21,91,16,2,1,2,11,"2,204",501,,9700621810
Lindsay Unified School District,"16,262","15,672","9,309",99,174,328,32,21,11,18,3,3,240,19,12,0,7,0,"5,743",590,,9700621870
Linns Valley-Poso Flat Union School District,612,592,549,2,6,9,0,4,5,0,0,0,0,0,0,0,0,0,26,20,,9500621900
Little Lake City Elementary School District,"33,756","32,286","18,808","1,136",359,"2,340",155,132,"1,026",79,334,247,367,83,18,11,31,23,"9,560","1,470",,9500621930
Little Shasta Elementary School District,332,322,296,3,14,1,0,0,1,0,0,0,0,0,0,0,0,0,8,10,,9500621960
Live Oak Elementary School District,"22,471","21,363","17,023",309,238,883,36,201,259,98,70,97,122,43,15,4,4,20,"2,867","1,108",,9500621990
Live Oak Unified School District,"10,511","9,965","6,142",139,164,"1,092",715,11,50,22,4,11,279,24,5,6,0,13,"2,404",546,,9700622050
Livermore Valley Joint Unified School District,"84,627","80,160","63,213","1,757",483,"7,334","1,797","1,441","2,327",395,380,406,588,280,91,66,50,73,"7,093","4,467",,9700622110
Livingston Union Elementary School District,"15,498","14,860","6,701",113,409,"2,367","2,026",12,168,29,4,4,124,24,8,9,1,6,"5,246",638,,9500622170
Lodi Unified School District,"165,789","156,698","89,794","9,492","1,327","30,691","3,215","1,953","7,982","1,076",286,"3,944","12,235",781,130,99,140,412,"24,613","9,091",,9700622230
Loleta Union Elementary School District,"1,512","1,434","1,146",12,148,10,0,2,0,1,5,0,2,7,6,0,0,1,111,78,,9500622320
Loma Prieta Joint Union Elementary School District,"3,724","3,583","3,366",11,19,117,17,43,16,16,3,4,18,4,4,0,0,0,66,141,,9500622350
Lompoc Unified School District,"57,305","53,926","37,172","3,121",929,"2,295",132,129,861,209,141,154,669,280,78,151,34,17,"10,129","3,379",,9700622410
Lone Pine Unified School District,"2,549","2,429","1,739",6,218,28,15,3,1,4,2,3,0,2,0,0,1,1,436,120,,9700622440
Long Beach Unified School District,"510,940","483,715","244,357","64,637","3,803","65,758","2,129","4,277","23,510","3,260","2,082","4,842","25,658","5,619",388,632,"3,883",716,"99,541","27,225",,9700622500
Loomis Union Elementary School District,"19,259","18,541","17,321",113,207,544,81,77,72,218,33,20,43,31,10,8,0,13,325,718,,9500622560
Los Alamitos Unified School District,"48,688","46,621","38,895",749,165,"5,214",265,"1,017",941,835,"1,398",345,413,160,31,44,72,13,"1,438","2,067",,9700622590
Los Alamos Elementary School District,"2,135","2,088","1,853",10,11,33,1,2,4,4,21,0,1,0,0,0,0,0,181,47,,9500622620
Los Altos Elementary School District,"40,653","38,875","27,506",314,77,"10,218","2,116","5,245",361,904,808,268,516,93,7,21,10,55,667,"1,778",,9500622650
Los Angeles Unified School District,"4,541,134","4,335,417","2,216,756","448,543","34,594","483,171","34,581","70,697","150,815","42,289","115,108","22,566","47,115","9,228","1,605","1,382","4,101","2,140","1,143,125","205,717",,9700622710
Los Banos Unified School District,"39,469","37,514","23,528","1,394",524,"1,210",262,138,522,61,40,79,108,140,19,28,71,22,"10,718","1,955",,9700622740
Los Gatos Union Elementary School District,"27,174","26,058","22,543",141,85,"2,898",482,"1,093",174,379,301,262,207,36,10,6,1,19,355,"1,116",,9500622830
Los Gatos-Saratoga Joint Union School District,"53,209","51,212","39,157",210,136,"11,062","2,403","5,654",283,770,922,528,502,61,21,12,1,27,586,"1,997",,9600622800
Los Molinos Unified School District,"3,523","3,388","2,808",14,84,21,10,2,5,2,1,0,1,2,1,1,0,0,459,135,,9700622860
Los Nietos Elementary School District,"14,998","14,430","8,619",232,271,286,17,25,142,23,6,22,51,41,6,16,14,5,"4,981",568,,9500622890
Los Olivos Elementary School District,"1,919","1,886","1,693",13,4,82,1,33,1,6,19,2,20,10,5,0,1,4,84,33,,9500622920
Lost Hills Union Elementary School District,"2,747","2,702",256,5,1,17,0,0,6,0,0,0,11,1,0,1,0,0,"2,422",45,,9500622950
Lowell Joint Elementary School District,"34,371","32,883","24,235",512,261,"2,849",203,586,589,285,781,107,298,69,31,13,15,10,"4,957","1,488",,9500623010
Lucerne Elementary School District,"3,417","3,209","2,888",72,109,34,1,7,11,9,2,3,1,9,5,0,1,3,97,208,,9500623040
Lucerne Valley Unified School District,"6,672","6,394","5,208",195,120,110,4,18,16,5,52,13,2,6,0,0,6,0,755,278,,9700600015
Lucia Mar Unified School District,"74,957","71,699","60,321",665,801,"2,272",172,267,987,368,185,67,226,110,29,17,31,33,"7,530","3,258",,9700623080
Luther Burbank Elementary School District,"3,823","3,595","2,125",133,47,303,18,70,119,13,7,59,17,13,6,0,5,2,974,228,,9500623130
Lynwood Unified School District,"68,397","66,008","26,943","6,464",464,444,93,29,112,10,43,17,140,202,6,9,170,17,"31,491","2,389",,9700623160
Madera Unified School District,"87,841","84,008","45,910","2,808","2,427","1,792",711,135,403,100,49,37,357,90,41,12,16,21,"30,981","3,833",,9700623340
Magnolia Elementary School District,"62,043","59,322","28,240","2,283",672,"12,607",733,555,"2,869",300,"1,539","5,326","1,285",533,42,60,279,152,"14,987","2,721",,9500623430
Magnolia Union Elementary School District,181,173,130,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,37,8,,9500623460
Mammoth Unified School District,"9,601","9,328","7,846",33,59,158,12,23,19,42,22,1,39,10,3,0,2,5,"1,222",273,,9700623530
Manchester Union Elementary School District,640,616,442,2,114,2,1,0,1,0,0,0,0,1,0,0,0,1,55,24,,9500623550
Manhattan Beach Unified School District,"35,135","33,516","29,686",290,59,"3,023",307,886,244,665,450,168,303,49,24,3,7,15,409,"1,619",,9700600025
Manteca Unified School District,"116,745","108,733","61,785","8,912","1,325","13,871","3,628",606,"6,972",247,137,545,"1,736",817,138,144,134,401,"22,023","8,012",,9700623610
Manton Joint Union Elementary School District,402,393,363,0,20,3,0,1,2,0,0,0,0,0,0,0,0,0,7,9,,9500623670
Manzanita Elementary School District,"1,101","1,040",833,8,31,61,26,0,3,18,0,0,14,0,0,0,0,0,107,61,,9500623700
Maple Creek Elementary School District,48,45,39,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,,9500623730
Maple Elementary School District,535,525,316,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,197,10,,9500623760
Marcum-Illinois Union Elementary School District,851,816,698,6,2,30,11,1,3,2,0,0,13,1,0,1,0,0,79,35,,9500623800
Maricopa Unified School District,"1,803","1,749","1,450",9,40,25,4,2,13,4,0,0,2,2,0,0,1,1,223,54,,9700623820
Mariposa County Unified School District,"18,020","17,290","15,905",136,524,199,19,29,68,33,14,2,34,26,13,3,0,10,500,730,,9700623940
Mark Twain Union Elementary School District,"9,310","8,970","8,270",58,115,114,23,15,35,20,2,0,19,18,8,6,2,2,395,340,,9500623970
Mark West Union Elementary School District,"14,055","13,460","11,207",140,238,533,66,119,137,41,23,30,117,43,18,4,4,17,"1,299",595,,9500624000
Martinez Unified School District,"28,945","27,134","22,467","1,022",237,"1,663",197,314,703,144,63,59,183,153,34,30,21,68,"1,592","1,811",,9700624030
Marysville Joint Unified School District,"60,976","56,724","41,120","1,921","1,462","4,197",358,221,485,165,86,67,"2,815",242,39,93,49,61,"7,782","4,252",,9700624090
Mattole Unified School District,626,587,563,4,5,7,0,4,2,1,0,0,0,1,0,0,0,1,7,39,,9700600038
Maxwell Unified School District,"1,846","1,805","1,321",33,33,23,6,0,2,3,2,0,10,4,2,0,0,2,391,41,,9700624150
McCabe Union Elementary School District,"6,758","6,509","4,605",106,70,332,59,58,46,11,106,29,23,5,0,2,0,3,"1,391",249,,9500624180
McCloud Union Elementary School District,"1,353","1,311","1,274",9,16,6,1,0,2,3,0,0,0,0,0,0,0,0,6,42,,9500624210
McFarland Unified School District,"13,564","13,067","5,922",239,174,130,26,24,60,7,0,1,12,6,1,0,4,1,"6,596",497,,9700624230
McKinleyville Union Elementary School District,"15,287","14,468","13,078",104,715,212,10,59,40,42,21,5,35,17,6,3,3,5,342,819,,9500624300
McKittrick Elementary School District,166,159,143,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,,9500624330
McSwain Union Elementary School District,"5,420","5,193","4,189",57,40,324,78,18,27,9,17,10,165,9,3,4,0,2,574,227,,9500624360
Meadows Union Elementary School District,"2,167","2,111","1,483",19,13,19,9,3,7,0,0,0,0,1,0,0,1,0,576,56,,9500624390
Mendocino Unified School District,"5,665","5,454","5,230",46,49,58,4,14,8,18,0,0,14,4,1,1,0,2,67,211,,9700624480
Mendota Unified School District,"12,298","11,845","6,377",115,168,84,31,18,2,2,1,3,27,5,4,0,0,1,"5,096",453,,9700600022
Menifee Union Elementary School District,"78,408","74,376","55,903","4,416",670,"4,616",150,243,"2,573",223,174,506,747,283,43,100,72,68,"8,488","4,032",,9500624540
Menlo Park City Elementary School District,"25,996","24,866","21,018",298,54,"2,867",599,"1,223",247,305,189,74,230,124,23,6,16,79,505,"1,130",,9500624570
Merced City Elementary School District,"83,603","79,161","46,144","4,889","1,200","9,510",735,705,"1,136",244,165,221,"6,304",201,52,37,33,79,"17,217","4,442",,9500624600
Merced River Union Elementary School District,805,792,662,1,5,6,0,4,1,0,0,0,1,0,0,0,0,0,118,13,,9500624630
Merced Union High School District,"166,634","158,440","93,500","7,800","2,452","16,670","3,451",914,"1,767",436,279,317,"9,506",378,112,107,45,114,"37,640","8,194",,9600624660
Meridian Elementary School District,641,608,486,2,9,9,8,0,1,0,0,0,0,0,0,0,0,0,102,33,,9500624690
Mesa Union Elementary School District,"3,740","3,618","2,558",113,30,225,21,57,44,48,19,23,13,3,0,0,3,0,689,122,,9500624720
Middletown Unified School District,"10,050","9,654","8,626",94,176,113,8,18,41,21,14,2,9,19,11,1,4,3,626,396,,9700624750
Midway Elementary School District,461,448,411,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,25,13,,9500624780
Mill Valley Elementary School District,"30,956","29,749","26,896",332,70,"2,000",298,639,159,329,336,70,169,60,14,2,2,42,391,"1,207",,9500624870
Millbrae Elementary School District,"24,424","23,270","11,474",256,59,"9,711",356,"6,338","1,490",320,609,112,486,396,28,11,40,317,"1,374","1,154",,9500624900
Millville Elementary School District,"1,575","1,510","1,433",8,12,15,4,1,7,1,0,0,2,1,0,1,0,0,41,65,,9500624930
Milpitas Unified School District,"66,064","62,998","13,928","1,939",313,"40,699","5,838","9,935","11,410",407,702,"10,274","2,133",346,29,107,78,132,"5,773","3,066",,9700624500
Mineral Elementary School District,161,156,151,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,,9500625020
Mission Union Elementary School District,307,299,216,1,4,6,1,0,4,1,0,0,0,0,0,0,0,0,72,8,,9500625110
Modesto City Elementary School District,"114,336","107,688","68,965","3,948","1,624","5,313",563,286,763,127,50,190,"3,334",655,96,67,118,374,"27,183","6,648",,9500625130
Modesto City High School District,"267,086","250,977","170,883","9,815","3,233","16,110","3,004","1,639","3,738",422,353,"1,332","5,622","2,201",218,190,248,"1,545","48,735","16,109",,9600625150
Modoc Joint Unified School District,"6,545","6,279","5,578",78,222,72,14,23,16,10,1,1,7,16,8,4,3,1,313,266,,9700625190
Mojave Unified School District,"18,880","17,838","11,920","2,807",203,437,21,32,202,20,46,15,101,75,21,25,11,18,"2,396","1,042",,9700625230
Monroe Elementary School District,"1,176","1,113",517,34,16,105,78,2,2,2,0,0,21,0,0,0,0,0,441,63,,9500625290
Monrovia Unified School District,"43,265","41,075","25,591","2,662",322,"5,711",313,"2,412","1,498",362,207,282,637,83,20,2,38,23,"6,706","2,190",,9700625320
Monson-Sultana Joint Union Elementary School District,"2,424","2,355","1,285",31,19,41,2,2,20,13,0,0,4,0,0,0,0,0,979,69,,9500625350
Montague Elementary School District,"2,002","1,872","1,731",12,77,10,2,0,1,4,0,1,2,1,1,0,0,0,41,130,,9500625380
Monte Rio Union Elementary School District,"2,192","2,079","1,983",13,13,30,3,6,5,8,0,3,5,1,1,0,0,0,39,113,,9500625410
Montebello Unified School District,"163,785","157,831","82,222","1,422","1,778","15,606",570,"7,344","1,597","2,928",948,895,"1,324",127,22,39,53,13,"56,676","5,954",,9700625470
Montecito Union Elementary School District,"6,182","6,053","5,782",33,20,103,9,29,19,22,14,4,6,2,0,1,0,1,113,129,,9500625500
Monterey Peninsula Unified School District,"87,070","80,668","51,717","5,349",693,"9,703",613,956,"3,427",979,"1,596","1,064","1,068","1,196",107,231,269,589,"12,010","6,402",,9700625530
Montgomery Elementary School District,847,813,755,2,14,20,0,3,10,5,2,0,0,0,0,0,0,0,22,34,,9500625650
Moorpark Unified School District,"35,953","34,270","27,025",546,269,"2,399",528,443,474,220,196,268,270,51,25,7,6,13,"3,980","1,683",,9700625690
Moraga Elementary School District,"16,195","15,383","12,350",283,31,"2,413",214,"1,287",213,223,226,52,198,25,7,2,7,9,281,812,,9500625740
Moreland Elementary School District,"47,625","45,076","25,384","1,692",327,"13,085","2,466","4,783","1,085","1,368","1,421","1,203",759,218,39,27,62,90,"4,370","2,549",,9500625770
Moreno Valley Unified School District,"167,663","158,147","72,271","28,852","1,566","9,876",699,808,"4,336",340,574,"1,059","2,060",997,124,190,423,260,"44,585","9,516",,9700625800
Morgan Hill Unified School District,"59,911","56,374","38,579","1,192",578,"6,569","1,049","1,403","1,321",656,288,"1,345",507,208,59,67,22,60,"9,248","3,537",,9700625830
Morongo Unified School District,"68,799","65,182","54,837","3,200",909,"1,730",132,126,772,172,139,127,262,439,46,94,217,82,"4,067","3,617",,9700625860
Mother Lode Union Elementary School District,"15,401","14,834","13,548",59,300,164,26,36,42,30,13,4,13,17,8,7,0,2,746,567,,9500625980
Mount Baldy Joint Elementary School District,374,368,347,1,6,9,0,2,0,4,3,0,0,0,0,0,0,0,5,6,,9500626340
Mount Diablo Unified School District,"250,501","235,716","166,464","9,646","1,476","31,295","3,841","7,457","11,173","1,882","2,150","1,848","2,944","1,232",146,165,177,744,"25,603","14,785",,9700626370
Mount Pleasant Elementary School District,"21,946","20,796","8,140",758,277,"5,337",366,456,"1,699",99,40,"2,191",486,119,16,26,43,34,"6,165","1,150",,9500626400
Mount Shasta Union Elementary School District,"7,237","6,958","6,610",81,59,118,13,32,26,25,8,1,13,11,2,0,7,2,79,279,,9500626040
Mountain Elementary School District,"1,289","1,252","1,188",2,11,20,2,7,3,6,1,0,1,1,0,0,0,1,30,37,,9500626070
Mountain Empire Unified School District,"11,322","10,868","8,821",203,496,116,10,20,45,13,3,10,15,38,5,20,5,8,"1,194",454,,9700626100
Mountain House Elementary School District,345,338,230,4,1,16,5,6,3,0,0,2,0,0,0,0,0,0,87,7,,9500626130
Mountain Union Elementary School District,"1,284","1,205","1,060",8,100,11,0,0,5,4,1,0,1,1,0,0,1,0,25,79,,9500627040
Mountain Valley Unified School District,"3,113","2,907","2,650",4,192,11,0,0,4,4,1,0,2,3,1,0,2,0,47,206,,9700600018
Mountain View Elementary School District (Los Angeles County),"57,014","55,153","23,814",410,586,"9,895",78,"5,374",528,65,77,"2,861",912,49,15,7,10,17,"20,399","1,861",,9500626190
Mountain View Elementary School District (San Bernardino County),"19,733","18,667","9,905","1,991",174,"1,807",167,237,806,62,65,172,298,44,7,9,15,13,"4,746","1,066",,9500626220
Mountain View Whisman Elementary School District,"65,635","62,233","36,669","1,658",325,"16,341","3,864","6,389","2,376","1,260",803,633,"1,016",371,30,37,46,258,"6,869","3,402",,9500626280
Mountain View-Los Altos Union School District,"106,288","101,108","64,175","1,972",402,"26,559","5,980","11,634","2,737","2,164","1,611",901,"1,532",464,37,58,56,313,"7,536","5,180",,9600626310
